,x,y,z,rx,ry,rz
9.185104608535767,-0.6566298755214144,-0.5187783318626763,0.04221138139039622,-2.9568343860768636,0.8940230388088874,-0.09378813904909766
9.21739673614502,-0.6583525830069482,-0.5154321004761372,0.041655616429450336,-2.9540068772856154,0.9006224856966163,-0.09533545815435553
9.25043249130249,-0.6599941962110875,-0.5120542009796422,0.04105593381755561,-2.951148542601065,0.9070751670820908,-0.09708667673561888
9.282301902770996,-0.6617076764841775,-0.5088132958376792,0.04055469402849411,-2.948472056776092,0.9135250574508589,-0.09854763639776017
9.3134446144104,-0.663501152173637,-0.5054966565029722,0.0400719577830805,-2.9457137329232737,0.920075351515002,-0.09990356374233668
9.3455810546875,-0.665523736828577,-0.5023937667314392,0.039883578525538824,-2.9434498026522684,0.9266885378906604,-0.10058131329703773
9.377859592437744,-0.6675887255223362,-0.4995397545945406,0.039842375927009135,-2.941541493055106,0.93299036870093,-0.10089274764780201
9.409721374511719,-0.6697447485834611,-0.496669572868007,0.039871345897161646,-2.93970015111811,0.9393339797849566,-0.1010497536787598
9.44164252281189,-0.6717284813779432,-0.49394889309732765,0.03987509779920176,-2.937940632125541,0.945215815587184,-0.10115890510300933
9.473750591278076,-0.6737120940505037,-0.4912923792154436,0.039881645298876625,-2.9361709528491717,0.9511548990472859,-0.10127304725875609
9.506269454956055,-0.6756458399541719,-0.48859098715471055,0.03990799017749821,-2.934375248610258,0.9571062093574819,-0.1014530595774704
9.53766417503357,-0.6775077268864791,-0.48600523325997586,0.039862212227081396,-2.932645635284236,0.9626512660398927,-0.10170972980164793
9.569204330444336,-0.6792277941995823,-0.4836328547559504,0.03989466922926415,-2.931076767208291,0.9679013080430955,-0.10184203546490173
9.601528882980347,-0.680865357456703,-0.4812969892840417,0.03989141506312087,-2.9295694720962713,0.9728603005805689,-0.10201418190482049
9.6334969997406,-0.6824009775127148,-0.47908220676717667,0.039875805333811395,-2.9280506401938675,0.9776367304961728,-0.10217642861842548
9.666005373001099,-0.6836902975064213,-0.47720450971967826,0.0398601850833495,-2.9267595779724607,0.9816106968870019,-0.10229435752745039
9.697877645492554,-0.6847403048975117,-0.47567536130331406,0.039850861338424755,-2.925711428789426,0.9849475491331368,-0.10241267076256177
9.729137897491455,-0.6856843039860517,-0.47420385473383364,0.0397928391759414,-2.924645050931362,0.9880033254747022,-0.10263704353735487
9.761987209320068,-0.6866957833385855,-0.4726647809094374,0.03976014763339444,-2.9235384919515846,0.9912796082381145,-0.1028108426504491
9.794546604156494,-0.6876634847570703,-0.47107123858811634,0.03968651201043968,-2.922420796423182,0.9945373991511224,-0.10317216247966385
9.825524806976318,-0.6886299875756543,-0.4696360367511626,0.03968709540836475,-2.921381575191908,0.9976777845321645,-0.10320522213658315
9.85706877708435,-0.6894216944229455,-0.46843838948970323,0.03968984305062632,-2.9205673647646493,1.0001544604516561,-0.10329313515761712
9.889894247055054,-0.6900945607426332,-0.46734246083565806,0.03962666489470017,-2.9197856824178667,1.0024307158064938,-0.10349273369551423
9.921668767929077,-0.6908021305335169,-0.4661234039636777,0.039558268904471165,-2.9188583825680987,1.004909052722886,-0.1038195812083804
9.95437240600586,-0.6915654160526362,-0.4647295125442532,0.03945476715479083,-2.9177567330328746,1.0076744511808902,-0.10412052884049383
9.985424518585205,-0.6923967839777088,-0.46309666636128566,0.039300687198557616,-2.9164761184034953,1.0108527881928095,-0.10468735059993552
10.017895698547363,-0.6932557769774365,-0.4613954026263577,0.03914865145971316,-2.9150898766540356,1.014224751279766,-0.10517878928579118
10.050654411315918,-0.6940054251113441,-0.459956141158254,0.039061106133911075,-2.9139873174197084,1.0170487050843904,-0.10549458165799783
10.081125259399414,-0.6947263320946024,-0.4587310482963363,0.039019233782040454,-2.9130825161426186,1.0195544663488347,-0.10575582966095594
10.113491535186768,-0.695339194792954,-0.45763698644789713,0.03896710554394185,-2.912237397349943,1.0217837342391536,-0.10594361909934388
10.145363330841064,-0.6960829887820126,-0.4563040302139258,0.03887142045373612,-2.9112091862927474,1.0244405445069886,-0.10629458016326056
10.177288055419922,-0.6969015827909476,-0.4547584037888268,0.03875608536818582,-2.910037857365497,1.0274980595225323,-0.10667003189695194
10.20957064628601,-0.6977830621051999,-0.45311188769701904,0.03866649005996149,-2.9087774393664456,1.0307383981054452,-0.10709315429121581
10.242423057556152,-0.6986154726842602,-0.45152491198526273,0.038512039640262834,-2.90747113321348,1.0338812154918489,-0.10751742772023347
10.274306297302246,-0.6993532476338309,-0.4501272571747834,0.038413880723683666,-2.9064061386249893,1.0366427161271932,-0.10788431617078778
10.305649280548096,-0.7000198315927273,-0.44865522790165235,0.03823168921039057,-2.905131998624521,1.0394823269162954,-0.1084217137709937
10.338217973709106,-0.7007317377671618,-0.44699656873805377,0.03800308244408791,-2.9037326570646114,1.042573617376315,-0.10914456070559725
10.370848655700684,-0.7014363251041631,-0.44504386895310255,0.037659899724527005,-2.9019795944119564,1.0461043838061606,-0.11019727226186948
10.401746988296509,-0.7020156147081603,-0.4428933449451935,0.03714795402158115,-2.899849790092253,1.0497268363058843,-0.11166481144659637
10.43368911743164,-0.7022497992726849,-0.44081078772063365,0.03643507260065271,-2.8975499410447436,1.0530715182424928,-0.11367588674624715
10.46573805809021,-0.702193279149534,-0.43869896296436556,0.035536579495047224,-2.894985235287605,1.0560323880152822,-0.11612288930473687
10.497740030288696,-0.70209563794127,-0.4363033406565187,0.034503161393647876,-2.8920752086589414,1.05945589431128,-0.11900360130427463
10.529906034469604,-0.7021154504771917,-0.4336785079246013,0.03346281357698063,-2.8889867099461664,1.0633404060920477,-0.12193153043065175
10.56103253364563,-0.7022391804509112,-0.431173519684862,0.03252884703493804,-2.8861240066235965,1.0671688195417024,-0.1245833678641516
10.593562602996826,-0.7025010611570015,-0.42903521844838705,0.03183729778461568,-2.8838116568783483,1.070447376659646,-0.12650562546365332
10.62568473815918,-0.7028149778910475,-0.4269487581276199,0.03122941133623906,-2.881581943098662,1.0739600577137516,-0.12835527283718917
10.657204389572144,-0.7032405992462172,-0.42466752521581524,0.03067815930108189,-2.879213965563219,1.0777602866966114,-0.1299909935285364
10.689663887023926,-0.7035800855189485,-0.42225904352886223,0.029956006862577992,-2.8766641456901842,1.0816171071938148,-0.13216192138069063
